scenario,estimator,alpha0,N,T,mean_alpha,bias,sd_alpha,size_5,fail_rate,reps_valid,rmse
A,AB-GMM1,.5,30,10,.4516856709644199,-.0483143290355802,.069995637271798,.108,0,1000,.0850221396931783
A,AB-GMM2,.5,30,10,.4529210824072361,-.0470789175927639,.0725513463947116,.075,0,1000,.0864572648626361
A,AH,.5,30,10,.514159463500604,.014159463500604,.1364362791871878,.001,0,1000,.1371011809824797
A,BB-GMM1,.5,30,10,.6229188534319401,.1229188534319401,.0773411692288922,.658,0,1000,.1452057827025398
A,BB-GMM2,.5,30,10,.610302620023489,.110302620023489,.0778573661341528,.298,0,1000,.134990279931306
A,Kiviet,.5,30,10,.5033638272285461,.0033638272285461,.041411813074787,.08,0,1000,.0415275650321863
A,LSDV,.5,30,10,.4369906797409058,-.0630093202590942,.0372552257382832,.401,0,1000,.0731897419894259
B,AB-GMM1,.5,100,10,.4819332048594951,-.0180667951405048,.0402682174747121,.063,0,1000,.0441170816793347
B,AB-GMM2,.5,100,10,.4877103692293167,-.0122896307706833,.0459681104280337,.039,0,1000,.0475603735648418
B,AH,.5,100,10,.5016681454777717,.0016681454777718,.0666447364878255,0,0,1000,.0666322901449829
B,BB-GMM1,.5,100,10,.5566866666972637,.0566866666972637,.0575370852621523,.507,0,1000,.0807501321703586
B,BB-GMM2,.5,100,10,.5451707988381386,.0451707988381386,.0570816592097802,.165,0,1000,.0727699015390218
B,Kiviet,.5,100,10,.5000921453237533,.0000921453237534,.0212774088791586,.069,0,1000,.0212669671378637
B,LSDV,.5,100,10,.4386634326279163,-.0613365673720837,.0202528988331788,.877,0,1000,.0645905893162927
C,AB-GMM1,.8,30,7,.7199507528916002,-.0800492471083983,.1230199385241583,.145,0,1000,.1467196419428387
C,AB-GMM2,.8,30,7,.7141590983346104,-.0858409016653878,.1426078206954069,.103,0,1000,.1663890439052307
C,AH,.8,30,7,.9422019503709161,.1422019503709098,9.621319208937331,0,0,1000,9.617558678356765
C,BB-GMM1,.8,30,7,.8679589582085609,.0679589582085622,.0544118943123221,.522,0,1000,.0870408730953774
C,BB-GMM2,.8,30,7,.8639897686243058,.0639897686243069,.0607707646950568,.302,0,1000,.0882274517617535
C,Kiviet,.8,30,7,.806311269402504,.0063112694025041,.0660785382722074,.183,0,1000,.066346356105233
C,LSDV,.8,30,7,.7094052951931954,-.090594704806803,.0417458514299802,.637,0,1000,.0997415356535803
D,AB-GMM1,.92,100,4,.9108716636151075,-.0091283363848924,.1845803725478372,.054,0,1000,.184713752983161
D,AB-GMM2,.92,100,4,.9095313509553671,-.0104686490446329,.1848285408795428,.063,0,1000,.1850324851126332
D,AH,.92,100,4,.6458681474253535,-.2741318525746493,7.959389042844449,.005,0,1000,7.960130045044049
D,BB-GMM1,.92,100,4,.9977012376189232,.0777012376189219,.0328690566361813,.8100000000000001,0,1000,.0843609912031663
D,BB-GMM2,.92,100,4,.9998855116963387,.0798855116963373,.037358849596675,.644,0,1000,.08818153399964
D,Kiviet,.92,100,4,.922958390891552,.002958390891552,.1033051523033454,.205,0,1000,.1032958596197941
D,LSDV,.92,100,4,.7134459179639816,-.2065540820360144,.0484253154291547,.997,0,1000,.2121491337926719
