start	end	text
0	4820	Entonces arrancamos con la clase de hoy
4820	6640	Es la última clase que tenemos
6640	9900	Igualmente no iba a ser una clase muy larga
9900	12560	Porque nos quedaban ver poquitos ejercicios
12560	13540	Del último TP
13540	15980	Pero voy a hacer como un mini repaso
15980	18160	De lo que estuvimos hablando en la clase pasada
18160	21680	Tenemos el Problem Set 5
21680	25220	En este Problem Set el tópico más importante
25220	26160	O el tópico
26160	29840	Sí, el tópico más importante del TP
29840	34440	Van a ser modelos donde la variable dependiente
34440	35560	Es una variable discreta
35560	38940	En particular estamos usando el caso de una variable binaria
38940	41540	Que puede tomar los valores 1-0
41540	44380	Y a lo largo del TP lo que estamos analizando
44380	46140	Es este archivo WHPAN
46140	48800	Que contiene datos de ONDES
48800	51180	Que trabajaron desde el 1980 hasta el 1987
51180	54000	Y lo que hicimos durante el ejercicio 1
54000	56020	Era analizar el impacto de la escolaridad
56020	58180	En la probabilidad de estar afiliado a un sindicato
58180	62820	A modo de resumen
62820	63900	De lo que estuvimos viendo
63900	67640	Lo que habíamos mencionado
67640	68240	Era primero
68240	69100	En el primer ejercicio
69100	69980	Hicimos un pool doles
69980	71080	Para estimar este modelo
71080	73040	Y nos preguntaban
73040	75120	Si una imagen de escolaridad
75120	75900	Según esta especificación
76500	78180	Y dados los datos que tenemos
78180	80140	Tiene impacto
80140	81180	Sobre la probabilidad
81180	82480	Para un hombre en particular
82480	84160	De estar afiliado a un sindicato
84160	85880	Entonces el chiste de este modelo
85880	87240	Básicamente es explicar
87240	88060	Cómo cambia
88060	89320	La probabilidad
89320	91100	De estar afiliado
91100	92240	A un sindicato
92240	93340	Que sería como
93340	95080	Unión toma valor 1
95080	96960	Que sería como el evento éxito
96960	98340	En este tipo de modelos
98340	102280	Cuando cambia en una unidad
102280	102880	La educación
102880	105740	Lo que habíamos comentado
105740	106420	Sobre este modelo
106420	106880	Es que tiene
106880	107840	Como una especie
107840	108700	De limitación
108700	109440	Que es que
109440	112240	No tenemos forma
112240	113080	A priori
113080	114480	De restringir
114480	116620	Qué valores toma esto
116620	116800	O sea
116800	117380	Si estos valores
117380	119200	Que termina tomando
119200	119900	Lo que decimos
119900	120680	Que es una probabilidad
120680	121600	Está entre 0 y 1
121600	123020	Entonces eso puede ser considerado
123020	123480	Como algo
123480	124540	Malo
124540	124880	O algo
124880	126220	Que no
126220	128300	Como una desventaja
128300	128860	Del modelo
128860	130280	Pero
130280	132180	Eso va a depender
132180	132420	Bueno
132420	133160	De los valores
133160	133860	Que termina tomando
133860	134860	Efectivamente el coeficiente
134860	136020	Y
136020	138800	De los valores
138800	139360	Que estemos usando
139360	140060	Para la educación
140060	142400	Creo que es en Woodridge
142400	143400	Que se habla bastante
143400	144900	Se habla un poco de esto
144900	145740	De
145740	147700	Y lo que dicen en Woodridge
147700	148020	Es
148020	150520	Quizás no es uno
150520	151240	De los problemas
151240	152260	Como que no
152260	153320	Puede no ser un problema
153320	153940	Tan grave
153940	155900	Si cuando pensamos
155900	156180	En
156180	157600	Qué valor le doy
157600	158580	Al valor que toma
158580	159120	La educación
159120	160260	No es como un valor
160260	161480	Outlier
161480	162280	O sea
162280	163280	Este modelo
163280	164680	Va a tener problemas
164680	165420	A la hora de estimar
165420	165980	La probabilidad
165980	166900	Para los outliers
166900	167740	De la educación
167740	169100	Porque podría ser
169100	170140	Que te deje por fuera
170140	170620	Del rango
170620	171400	De 0 y 1
171400	174640	A ver si lo tengo
174640	176200	Resalutado
176200	177420	Para que ya quede
177420	191800	Pero bueno
191800	192120	De última
192120	192720	Después
192720	194440	Lo buscamos
194440	194920	Así ya
194920	195680	Queda grabado
195680	197000	La referencia
197000	197680	Pero estoy casi ahora
197680	198320	Que era en Woodridge
198320	200760	Entonces
200760	201960	Lo que hicimos fue
201960	203420	Esto lo vimos en Stata
203420	204800	Voy a venir a Stata
204800	205200	Un minuto
205200	208620	Como siempre
208620	210380	Seteamos la parte inicial
210380	211100	Del código
211100	211940	Tenemos
211940	218800	La base de datos
218800	219700	La cargamos
219700	238400	Y voy a correr
238400	239580	Un summarize
239580	240240	De la data
240240	240900	Así como está
240900	242940	InDescribe
