start	end	text
0	4220	Acordé justo
4220	8040	Bueno, vamos a arrancar entonces con el ejercicio 1
8040	12960	La primera parte, nada, bastante ya conocido
12960	16140	Vamos a cargar la base de datos con estos comandos
16140	19800	Y voy a usar el comando DES de describe
19800	21420	Para ver de qué se trata la base
21420	26980	Acuérdense que este describe lo que hace no es el describe sobre la estructura de panel todavía
26980	30400	Sino como el describe de todo el dataset
30400	33980	A ver si tengo que modificar esto
33980	42500	Bueno, cualquier cosa si necesitan la letra más grande o más chica
42500	45940	Entonces arrancamos
45940	47920	Corro esta primera parte
47920	55440	Ahí tengo cargada la base de datos
55440	56740	Y uso el describe
56740	61460	Fíjense que las variables que queríamos usar
61460	62560	Voy a ir un segundo
62560	72660	Tenemos
72660	75420	Queremos construir un modelo de pool double S
75420	77080	Que relacione la tasa de crimen
77080	80320	Que va a ser esta crime rate
80320	88040	Con PRBAR, PRB, PRB, PRB, PRB, PRS, Average, CEN, PUL, PC
88040	89500	Que tenemos
89500	95040	Probability of arrest, probability of conviction, probability of prison sentence
96040	100200	Duración promedio de la sentencia en días
100200	102360	Y cantidad de policías per cápita
102360	108980	Y bueno, vamos a estar trabajando sobre esas variables e ir comparando modelos
108980	116520	Ok, ya hicimos esta parte de escribir
116520	119220	Vamos ahora a declarar el panel
119220	122400	Primero veamos, un segundo, cómo se ve la base de datos
122400	125600	Fíjense que lo que tenemos es datos de condados
125600	128060	Condado 1, condado 3, condado 5
128060	130740	Para los años del 81 al 87
130740	134540	Y ya después las variables
134540	137560	Algo que también está bueno ver
137560	141640	Es que en esta base de datos ya tenemos una dummy para el año creada
141640	146420	Entonces, por ejemplo, esta fila de acá, la fila 1
146420	148760	Corresponde al condado 1, año 81
148760	151540	Y dentro de las dummies que tenemos
151540	155040	Dummies del 82 al 87, todas valen 0
155040	159580	Y ya a partir de la segunda fila se activa la dummy del 82
159580	161900	La tercera la dummy del 83, así sucesivamente
161900	165520	Y acá se reinicia con el siguiente condado
165520	171740	Ya están también calculados los logaritmos de las variables que vamos a usar
171740	174760	Así que no hace falta que los generemos nosotros
174760	177400	Las que arrancan con L es porque son el logaritmo
177400	181480	Y nada, en su palabra
181480	187060	Entonces vamos a declarar el panel
187060	189440	Ya sabemos que con XTZ le decimos a Stata
189440	193300	Mi panel es estructurado con la variable ID en el condado
193300	195120	Y bueno, el tiempo con los años
195120	200880	Y fíjense que nos dice que tenés un N de 90
200880	202940	Periodos temporales 7
202940	208460	Y el delta para los años es de una unidad
208460	210060	O sea, vamos saltando de un año en un año
210060	213160	Condado por año
213160	216440	Identificada de forma unívoca a cada observación
216440	219780	Y para todas las observaciones
219780	221560	Encontramos este pattern de información
221560	224220	Donde todas tienen información para todos los años
224220	226300	O sea, es un panel balanceado
226300	230680	Y vamos a correr Summarize
230680	233500	Para entender un poco cómo se estructura el dataset y el panel
233500	236080	Este es el Summarize normal
236080	237480	Sobre toda la base de datos
237480	239640	Ahí lo corrimos
239640	242360	Entonces, bueno, tenemos
242360	245240	Fíjense que acá lo corrí solamente para las variables
245240	247300	Que nos interesa agregar a la regresión
247300	247880	No para todas
