start	end	text
0	9820	Muy bien, jóvenes, vamos a empezar con paneles desbalanceados.
10980	17580	La clase pasada al final describimos algunas de las características de este tema
17580	22400	que están repetidas aquí en esta primera transparencia.
22400	36280	La idea es que yo voy a tener, como caracterizamos nosotros los datos del panel,
37360	45860	una muestra representativa de una población en un determinado periodo temporal
45860	52020	y a partir de ese periodo temporal yo observo hacia adelante
52020	60320	esa muestra de unidades de corte transversal, individuos, empresas, etc.
60320	73780	Y lo que hicimos hasta ahora fue desarrollar la estimación de modelos estáticos y dinámicos
73780	84160	y datos de panel cuando la observación de las variables es completa.
84360	89880	Es decir, que nadie abandona la muestra en ningún periodo temporal,
90840	97340	nadie no responde las preguntas del cuestionario, es decir, que yo tengo observación completa
97340	102880	de todas las variables involucradas en el modelo.
103560	110680	Y lo que vamos a hacer ahora es plantear qué es lo que sucede cuando uno no tiene
110680	120080	un panel completo, es decir, cuando algunas variables en algunos periodos temporales
120080	122080	no se observan.
122080	135080	Y como mencionamos la clase pasada, hay tres grandes agrupamientos o causas
135680	144100	de los paneles no balanceados, desbalanceados o incompletos, que tienen que ver con
144100	152220	primero el diseño del muestreo, que lo tienen allí en el cuarto punto
152220	156480	de la transparencia.
156840	163620	Si el diseño del muestreo es un panel rotativo, entonces yo solo observo
163620	170000	a algunas unidades de corte transversal en algunos periodos temporales,
170000	182640	de forma tal de que la muestra no es completa, de nuevo, poniéndonos en el contexto de
182640	191160	yo tengo, supongamos que quiero analizar el ingreso de los hogares de la Ciudad Autónoma
191160	200420	de Buenos Aires, yo tomo una muestra aleatoria de 400 hogares en un punto del tiempo,
200520	206720	400 hogares de la Ciudad Autónoma de Buenos Aires, y sigo esos 400 hogares durante 12 meses.
207860	212780	Si la muestra es completa, yo en cada momento del tiempo tengo la muestra representativa
212780	215440	de la población de hogares de la Ciudad Autónoma de Buenos Aires.
215440	224680	Si yo hago un panel rotativo, es decir, que solo retengo una porción de los hogares
224680	235020	en cada muestreo, aleatoriamente el 25% de los hogares cambia cada uno de los meses,
235600	240160	al final del periodo de 12 meses yo voy a tener observaciones para hogares
240160	248300	de un mes, dos meses, tres meses, cuatro meses, etc. Y para el resto de los periodos
248300	256520	voy a tener valores missing en las variables. Como el diseño del panel rotativo
256520	263700	está encargado por la persona que va a hacer la estimación, yo al diseñar la rotación
263700	269180	en forma aleatoria, siempre retengo una muestra representativa de la población
269180	275280	de la Ciudad Autónoma de Buenos Aires. Distinto es el caso de las otras dos razones
275280	281360	o causas que mencionamos en la clase pasada, que son la atrición, atrición,
281500	287140	es decir, que algunas unidades eligen salirse del panel en algún periodo temporal,
287140	296060	y si esa salida del panel no es aleatoria, entonces la muestra que me queda
296060	304140	no es representativa del total de la población. Como ejemplo extremo
304880	311880	de este ejercicio de muestra de 400 hogares para analizar el ingreso
311880	316580	de los hogares en la Ciudad Autónoma de Buenos Aires, supongamos que se me van yendo
316580	319340	los hogares de Caballito.
321260	329420	Al final del periodo no voy a tener hogares de Caballito, y entonces, salvo que los hogares
329420	336460	del resto de los barrios tengan las mismas características que los hogares de Caballito,
336580	340560	entonces la muestra que me queda no va a ser representativa del total de los hogares
340560	343920	de la Ciudad Autónoma de Buenos Aires. Entonces, ahí tengo un problema
343920	352360	que ocurre frecuentemente en la práctica, que en la literatura se conoce como atrición
352360	359360	o atrición en inglés, y es que algunos hogares deciden salirse del panel
359360	364900	y esa salida, como no es aleatoria, provoca que la muestra que me queda
364900	370700	no sea representativa de la población, que comencé a analizar, y entonces tengo
370700	377440	lo que en econometría y en microeconometría 1 llamamos sesgo de sección.
377440	386880	Y la cuarta, la tercera razón, que está en el último punto de la transparencia,
386980	394060	tiene que ver con lo que en econometría y microeconometría llamamos el modelo de Hekman,
394680	401980	de estimación de la oferta de trabajo de las mujeres, donde hay una variable,
401980	409700	en el caso de ese ejemplo, el salario, que trunca el comportamiento de la oferta
409700	415240	de trabajo. Porque yo solo observo la oferta de trabajo para las mujeres que trabajan
415240	419480	y las mujeres que trabajan tomando la decisión de si el salario que le ofrecen
419480	422360	en el mercado de trabajo es mayor al salario de reserva que tiene.
422360	436540	Entonces, si tengo un truncamiento incidental, como dice el último punto de la transparencia,
436640	440780	es posible que, de nuevo, la muestra que tengo para estimar el modelo
440780	446140	no sea representativa de la población original.
446140	456340	No entendí la pregunta.
456640	461620	Claro, ¿por qué mantendría un panel? Voy diciendo, bueno, saco 25, busco otro 25,
462020	462600	y no hago...
462600	464460	No, yo no... Hacé lo que quiera.
465960	470360	Claro, ¿para qué me expongo a hacer, no sé, el artich, el panel, todo eso,
470740	471660	y hacer una muestra?
471660	477420	Bueno, a ver, es un ejemplo que di, yo tengo que dar un curso de datos de panel,
