scenario,estimator,alpha0,N,T,mean_alpha,sd_alpha,size_5,reps_valid,rmse
A,AB-GMM1,.5,30,10,.4366065263748169,.0544133094483531,0,2,.0741561637413095
A,AB-GMM2,.5,30,10,.3907279819250107,.0490989922461903,0,2,.1146548274342451
A,AH,.5,30,10,.369708813726902,.2062962953101064,0,2,.1955885322553151
A,BB-GMM1,.5,30,10,.6475432217121124,.010594579750729,1,2,.1477332895228318
A,BB-GMM2,.5,30,10,.6451442539691925,.0272357571230733,.5,2,.1464163504985252
A,Kiviet,.5,30,10,.5211086422204971,.0393975885091042,0,2,.0349522498068336
A,LSDV,.5,30,10,.4453405290842056,.0473759869322164,.5,2,.0641085004480322
B,AB-GMM1,.5,100,10,.5463623404502869,.0208100064522539,0,2,.0486414925377473
B,AB-GMM2,.5,100,10,.5548166334629059,.000566748671926,0,2,.0548180983456663
B,AH,.5,100,10,.5516924858093262,.059312669853502,0,2,.0665665793902815
B,BB-GMM1,.5,100,10,.5888707041740417,.0277902832089312,1,2,.0910173169281887
B,BB-GMM2,.5,100,10,.5940178334712982,.0006056923599501,.5,2,.0940188089812577
B,Kiviet,.5,100,10,.5386872291564941,.019104323493018,.5,2,.0409779121951086
B,LSDV,.5,100,10,.4747702330350876,.0112890123002187,0,2,.0264624647465241
C,AB-GMM1,.8,30,7,.8532576560974121,.0007859544310312,0,2,.0532605557159709
C,AB-GMM2,.8,30,7,.8560227751731873,.0393048865158044,0,2,.0625378956322933
C,AH,.8,30,7,.7851953208446503,.0375943566689898,0,2,.0304277234043308
C,BB-GMM1,.8,30,7,.9239021837711334,.0430856695614742,1,2,.1275928626688655
C,BB-GMM2,.8,30,7,.9260314106941223,.0325277575689497,1,2,.1281130125622792
C,Kiviet,.8,30,7,.8419462442398071,.0172599774021813,0,2,.0436857049363685
C,LSDV,.8,30,7,.7573517560958862,.0344668497752389,0,2,.0491208161049796
D,AB-GMM1,.92,100,4,.7968914806842804,.1117114442367314,0,2,.1462717707380242
D,AB-GMM2,.92,100,4,.7942013740539551,.105850461335958,0,2,.1463811954194613
D,AH,.92,100,4,.8505059480667114,.2176507089825019,0,2,.1688648536978595
D,BB-GMM1,.92,100,4,.9820163547992706,.0047612873294272,1,2,.0621076741724056
D,BB-GMM2,.92,100,4,.9762277603149414,.011370376791269,0,2,.0567996810221872
D,Kiviet,.92,100,4,.8495723307132721,.1011701802493688,.5,2,.1003880435460598
D,LSDV,.92,100,4,.6822411417961121,.052631298546464,1,2,.240653903869769
